trip_id,route_id,stop_name,passenger_count,trip_date,trip_hour,vehicle_id,direction
TRIP_0001,Route_C3,University,,2024-02-27,9,VH_004,Northbound
TRIP_0002,Route_A1,University,,2024-02-29,21,VH_020,Northbound
TRIP_0003,Route_E5,Market,60.0,2024-02-26,19,VH_019,Eastbound
TRIP_0004,Route_B2,Market,11.0,2024-03-28,13,VH_005,Southbound
TRIP_0005,Route_D4,Airport,96.0,2024-04-01,16,VH_020,Eastbound
TRIP_0006,Route_E5,Airport,21.0,2024-04-06,7,VH_018,Eastbound
TRIP_0007,Route_A1,Central_Station,102.0,2024-06-18,12,VH_010,Northbound
TRIP_0008,Route_D4,Hospital,69.0,2024-04-26,16,VH_006,Eastbound
TRIP_0009,Route_C3,Airport,100.0,2024-06-04,10,VH_018,Southbound
TRIP_0010,Route_C3,University,51.0,2024-06-24,15,VH_002,Southbound
TRIP_0011,Route_D4,Hospital,18.0,2024-01-17,11,VH_019,Eastbound
TRIP_0012,Route_D4,Park,64.0,2024-02-06,13,VH_005,Southbound
TRIP_0013,Route_E5,Market,147.0,2024-05-29,17,VH_012,Southbound
TRIP_0014,Route_A1,Central_Station,45.0,2024-01-29,9,VH_006,Westbound
TRIP_0015,Route_E5,Park,26.0,2024-05-15,13,VH_018,Northbound
TRIP_0016,Route_E5,Hospital,39.0,2024-06-13,15,VH_004,Eastbound
TRIP_0017,Route_A1,Hospital,121.0,2024-05-08,10,VH_017,Northbound
TRIP_0018,Route_E5,University,86.0,2024-02-09,16,VH_006,Northbound
TRIP_0019,Route_A1,Stadium,92.0,2024-03-19,12,VH_002,Southbound
TRIP_0020,Route_D4,Airport,,2024-05-16,9,VH_005,Westbound
TRIP_0021,Route_E5,Market,150.0,2024-02-24,22,VH_007,Eastbound
TRIP_0022,Route_C3,Park,112.0,2024-05-12,19,VH_004,Southbound
TRIP_0023,Route_A1,University,,2024-05-30,12,VH_001,Northbound
TRIP_0024,Route_A1,Stadium,25.0,2024-01-19,21,VH_008,Eastbound
TRIP_0025,Route_B2,Park,134.0,2024-03-03,20,VH_014,Southbound
TRIP_0026,Route_D4,Stadium,,2024-04-18,18,VH_015,Northbound
TRIP_0027,Route_C3,Airport,,2024-03-04,11,VH_007,Westbound
TRIP_0028,Route_C3,Park,45.0,2024-03-04,7,VH_015,Northbound
TRIP_0029,Route_E5,Central_Station,22.0,2024-01-24,12,VH_006,Westbound
TRIP_0030,Route_D4,Central_Station,134.0,2024-02-12,17,VH_001,Westbound
TRIP_0031,Route_D4,Hospital,77.0,2024-04-18,22,VH_016,Southbound
TRIP_0032,Route_A1,Central_Station,58.0,2024-03-21,6,VH_002,Westbound
TRIP_0033,Route_E5,Mall,138.0,2024-01-15,21,VH_003,Southbound
TRIP_0034,Route_B2,Market,27.0,2024-01-31,23,VH_008,Northbound
TRIP_0035,Route_E5,Stadium,30.0,2024-03-07,11,VH_011,Southbound
TRIP_0036,Route_C3,Park,77.0,2024-03-21,7,VH_001,Westbound
TRIP_0037,Route_B2,Hospital,,2024-02-03,16,VH_003,Southbound
TRIP_0038,Route_D4,Hospital,104.0,2024-06-05,21,VH_001,Eastbound
TRIP_0039,Route_B2,Hospital,36.0,2024-01-30,8,VH_018,Southbound
TRIP_0040,Route_B2,Stadium,79.0,2024-02-22,13,VH_017,Westbound
TRIP_0041,Route_A1,Airport,74.0,2024-06-11,18,VH_009,Northbound
TRIP_0042,Route_B2,Hospital,10.0,2024-02-11,19,VH_018,Westbound
TRIP_0043,Route_B2,Central_Station,12.0,2024-04-04,23,VH_018,Southbound
TRIP_0044,Route_C3,Stadium,120.0,2024-01-11,16,VH_007,Southbound
TRIP_0045,Route_E5,Market,36.0,2024-06-07,9,VH_008,Southbound
TRIP_0046,Route_A1,Mall,55.0,2024-03-26,18,VH_008,Eastbound
TRIP_0047,Route_A1,Market,50.0,2024-01-10,20,VH_008,Southbound
TRIP_0048,Route_B2,University,127.0,2024-01-07,11,VH_013,Eastbound
TRIP_0049,Route_C3,Stadium,81.0,2024-06-13,21,VH_013,Eastbound
TRIP_0050,Route_C3,Mall,17.0,2024-05-28,13,VH_002,Northbound
TRIP_0051,Route_C3,Market,121.0,2024-06-04,21,VH_004,Westbound
TRIP_0052,Route_D4,Central_Station,58.0,2024-05-13,22,VH_007,Eastbound
TRIP_0053,Route_C3,Stadium,,2024-06-18,8,VH_010,Eastbound
TRIP_0054,Route_C3,Mall,114.0,2024-02-19,18,VH_013,Southbound
TRIP_0055,Route_A1,Hospital,87.0,2024-03-14,11,VH_014,Eastbound
TRIP_0056,Route_B2,Park,129.0,2024-02-13,7,VH_010,Eastbound
TRIP_0057,Route_B2,Hospital,33.0,2024-02-27,11,VH_005,Northbound
TRIP_0058,Route_D4,Airport,21.0,2024-04-26,18,VH_019,Southbound
TRIP_0059,Route_B2,Mall,108.0,2024-06-16,5,VH_004,Westbound
TRIP_0060,Route_E5,Park,66.0,2024-01-13,22,VH_008,Northbound
TRIP_0061,Route_D4,Stadium,126.0,2024-04-23,21,VH_014,Westbound
TRIP_0062,Route_D4,Park,50.0,2024-03-07,12,VH_009,Westbound
TRIP_0063,Route_A1,Hospital,71.0,2024-03-01,13,VH_011,Eastbound
TRIP_0064,Route_B2,University,,2024-04-08,9,VH_007,Northbound
TRIP_0065,Route_E5,Park,116.0,2024-04-16,6,VH_007,Westbound
TRIP_0066,Route_E5,Central_Station,109.0,2024-05-27,17,VH_016,Northbound
TRIP_0067,Route_D4,Market,100.0,2024-05-17,22,VH_020,Southbound
TRIP_0068,Route_D4,Park,134.0,2024-01-08,17,VH_011,Westbound
TRIP_0069,Route_B2,Central_Station,52.0,2024-04-10,23,VH_019,Northbound
TRIP_0070,Route_B2,Park,31.0,2024-02-16,6,VH_009,Westbound
TRIP_0071,Route_C3,Stadium,93.0,2024-04-07,13,VH_014,Eastbound
TRIP_0072,Route_E5,Central_Station,30.0,2024-03-30,12,VH_003,Northbound
TRIP_0073,Route_B2,Central_Station,17.0,2024-06-08,9,VH_008,Southbound
TRIP_0074,Route_E5,University,131.0,2024-04-29,13,VH_012,Southbound
TRIP_0075,Route_B2,Hospital,39.0,2024-01-28,23,VH_001,Eastbound
TRIP_0076,Route_B2,Airport,106.0,2024-05-31,12,VH_004,Eastbound
TRIP_0077,Route_E5,Central_Station,40.0,2024-03-29,22,VH_014,Eastbound
TRIP_0078,Route_C3,Central_Station,27.0,2024-04-17,20,VH_004,Westbound
TRIP_0079,Route_D4,Mall,102.0,2024-04-21,10,VH_017,Eastbound
TRIP_0080,Route_D4,Market,147.0,2024-05-31,13,VH_011,Southbound
TRIP_0081,Route_D4,University,32.0,2024-04-28,23,VH_020,Westbound
TRIP_0082,Route_C3,Mall,,2024-05-04,11,VH_012,Eastbound
TRIP_0083,Route_E5,Hospital,97.0,2024-05-22,5,VH_017,Southbound
TRIP_0084,Route_D4,Park,31.0,2024-05-22,12,VH_016,Westbound
TRIP_0085,Route_A1,Hospital,124.0,2024-02-26,17,VH_008,Eastbound
TRIP_0086,Route_E5,Stadium,104.0,2024-04-18,22,VH_011,Eastbound
TRIP_0087,Route_C3,University,126.0,2024-01-31,11,VH_011,Northbound
TRIP_0088,Route_B2,University,147.0,2024-02-25,20,VH_009,Eastbound
TRIP_0089,Route_C3,University,35.0,2024-04-02,10,VH_010,Northbound
TRIP_0090,Route_A1,Central_Station,146.0,2024-05-21,14,VH_005,Westbound
TRIP_0091,Route_E5,Hospital,36.0,2024-04-30,20,VH_015,Eastbound
TRIP_0092,Route_C3,Park,57.0,2024-01-30,7,VH_013,Westbound
TRIP_0093,Route_A1,Mall,28.0,2024-02-08,23,VH_010,Northbound
TRIP_0094,Route_D4,University,73.0,2024-05-13,17,VH_015,Westbound
TRIP_0095,Route_D4,Hospital,86.0,2024-05-25,6,VH_020,Northbound
TRIP_0096,Route_C3,Airport,63.0,2024-02-10,12,VH_006,Northbound
TRIP_0097,Route_D4,Park,,2024-03-15,6,VH_008,Eastbound
TRIP_0098,Route_D4,Airport,82.0,2024-06-24,12,VH_009,Southbound
TRIP_0099,Route_B2,Mall,118.0,2024-03-09,9,VH_003,Northbound
TRIP_0100,Route_E5,Hospital,52.0,2024-04-22,8,VH_015,Eastbound
TRIP_0101,Route_E5,Park,113.0,2024-04-22,7,VH_020,Northbound
TRIP_0102,Route_E5,Hospital,120.0,2024-01-07,7,VH_008,Northbound
TRIP_0103,Route_B2,Park,78.0,2024-05-12,19,VH_009,Southbound
TRIP_0104,Route_D4,Airport,121.0,2024-04-30,16,VH_014,Eastbound
TRIP_0105,Route_B2,Stadium,92.0,2024-04-15,20,VH_010,Westbound
TRIP_0106,Route_A1,Stadium,,2024-03-05,15,VH_004,Westbound
TRIP_0107,Route_A1,Park,141.0,2024-04-15,6,VH_007,Eastbound
TRIP_0108,Route_A1,University,137.0,2024-03-09,22,VH_005,Eastbound
TRIP_0109,Route_D4,Airport,122.0,2024-01-08,12,VH_006,Eastbound
TRIP_0110,Route_A1,University,13.0,2024-01-30,19,VH_004,Southbound
TRIP_0111,Route_C3,Hospital,137.0,2024-04-16,20,VH_016,Southbound
TRIP_0112,Route_D4,University,126.0,2024-06-02,21,VH_005,Northbound
TRIP_0113,Route_D4,Stadium,80.0,2024-05-09,13,VH_001,Eastbound
TRIP_0114,Route_E5,Park,86.0,2024-02-08,19,VH_018,Westbound
TRIP_0115,Route_E5,Market,98.0,2024-04-26,15,VH_007,Southbound
TRIP_0116,Route_D4,Central_Station,108.0,2024-03-22,20,VH_013,Westbound
TRIP_0117,Route_A1,Mall,48.0,2024-05-08,23,VH_011,Northbound
TRIP_0118,Route_D4,Central_Station,,2024-02-06,18,VH_005,Northbound
TRIP_0119,Route_C3,Stadium,130.0,2024-06-08,17,VH_003,Eastbound
TRIP_0120,Route_C3,Park,146.0,2024-05-18,6,VH_020,Northbound
TRIP_0121,Route_C3,University,70.0,2024-01-24,18,VH_004,Northbound
TRIP_0122,Route_C3,Central_Station,123.0,2024-01-12,15,VH_002,Eastbound
TRIP_0123,Route_B2,University,101.0,2024-05-15,18,VH_019,Southbound
TRIP_0124,Route_E5,Market,53.0,2024-06-07,12,VH_016,Southbound
TRIP_0125,Route_C3,Park,69.0,2024-03-06,5,VH_015,Eastbound
TRIP_0126,Route_D4,Stadium,149.0,2024-05-30,14,VH_014,Eastbound
TRIP_0127,Route_B2,Market,126.0,2024-05-03,8,VH_008,Westbound
TRIP_0128,Route_C3,Central_Station,101.0,2024-06-17,17,VH_009,Northbound
TRIP_0129,Route_D4,Hospital,22.0,2024-02-28,16,VH_008,Southbound
TRIP_0130,Route_B2,Airport,74.0,2024-06-09,6,VH_010,Westbound
TRIP_0131,Route_B2,Airport,18.0,2024-03-16,15,VH_014,Southbound
TRIP_0132,Route_E5,Stadium,61.0,2024-05-15,21,VH_009,Southbound
TRIP_0133,Route_D4,Hospital,75.0,2024-03-27,8,VH_015,Northbound
TRIP_0134,Route_B2,Market,46.0,2024-05-22,16,VH_003,Westbound
TRIP_0135,Route_A1,Park,13.0,2024-04-04,13,VH_019,Westbound
TRIP_0136,Route_B2,Park,105.0,2024-01-07,22,VH_011,Southbound
TRIP_0137,Route_D4,Hospital,26.0,2024-06-15,18,VH_004,Southbound
TRIP_0138,Route_C3,Park,21.0,2024-01-30,8,VH_008,Southbound
TRIP_0139,Route_E5,Market,109.0,2024-05-30,9,VH_014,Northbound
TRIP_0140,Route_C3,Central_Station,135.0,2024-06-25,16,VH_007,Westbound
TRIP_0141,Route_C3,Airport,123.0,2024-06-24,16,VH_018,Eastbound
TRIP_0142,Route_B2,Airport,25.0,2024-04-26,7,VH_007,Northbound
TRIP_0143,Route_B2,Mall,22.0,2024-05-24,11,VH_003,Southbound
TRIP_0144,Route_B2,Stadium,65.0,2024-02-07,5,VH_009,Southbound
TRIP_0145,Route_B2,Airport,43.0,2024-06-18,5,VH_005,Northbound
TRIP_0146,Route_B2,Stadium,101.0,2024-01-05,10,VH_009,Northbound
TRIP_0147,Route_E5,Airport,42.0,2024-01-17,20,VH_015,Eastbound
TRIP_0148,Route_D4,University,141.0,2024-06-06,6,VH_017,Eastbound
TRIP_0149,Route_A1,Central_Station,127.0,2024-05-02,17,VH_014,Northbound
TRIP_0150,Route_D4,Airport,135.0,2024-01-21,15,VH_020,Southbound
TRIP_0151,Route_E5,Stadium,26.0,2024-04-07,21,VH_010,Westbound
TRIP_0152,Route_A1,Airport,139.0,2024-06-16,22,VH_007,Westbound
TRIP_0153,Route_D4,Stadium,125.0,2024-04-26,17,VH_014,Northbound
TRIP_0154,Route_C3,Stadium,90.0,2024-02-09,20,VH_003,Northbound
TRIP_0155,Route_A1,Stadium,,2024-02-03,22,VH_002,Eastbound
TRIP_0156,Route_D4,Central_Station,41.0,2024-03-14,14,VH_012,Northbound
TRIP_0157,Route_D4,University,139.0,2024-01-28,16,VH_018,Eastbound
TRIP_0158,Route_E5,University,39.0,2024-04-19,22,VH_020,Northbound
TRIP_0159,Route_C3,Hospital,,2024-03-27,16,VH_001,Southbound
TRIP_0160,Route_D4,Airport,46.0,2024-02-06,5,VH_003,Southbound
TRIP_0161,Route_C3,Mall,106.0,2024-04-04,14,VH_011,Northbound
TRIP_0162,Route_E5,Central_Station,23.0,2024-06-21,7,VH_009,Westbound
TRIP_0163,Route_D4,Market,118.0,2024-03-10,11,VH_017,Northbound
TRIP_0164,Route_C3,Park,98.0,2024-05-14,14,VH_002,Southbound
TRIP_0165,Route_A1,Central_Station,111.0,2024-02-22,14,VH_007,Southbound
TRIP_0166,Route_A1,Central_Station,75.0,2024-05-07,18,VH_006,Southbound
TRIP_0167,Route_B2,Stadium,107.0,2024-01-19,17,VH_002,Westbound
TRIP_0168,Route_A1,Stadium,14.0,2024-05-27,18,VH_019,Westbound
TRIP_0169,Route_D4,Central_Station,116.0,2024-03-24,10,VH_020,Westbound
TRIP_0170,Route_A1,University,,2024-04-21,23,VH_013,Northbound
TRIP_0171,Route_C3,University,111.0,2024-03-26,10,VH_003,Northbound
TRIP_0172,Route_C3,Stadium,145.0,2024-06-14,9,VH_008,Northbound
TRIP_0173,Route_B2,Mall,47.0,2024-06-16,7,VH_006,Westbound
TRIP_0174,Route_E5,Park,128.0,2024-06-23,23,VH_020,Eastbound
TRIP_0175,Route_A1,Park,90.0,2024-04-23,14,VH_009,Northbound
TRIP_0176,Route_C3,Park,100.0,2024-04-25,6,VH_002,Eastbound
TRIP_0177,Route_A1,Market,,2024-04-28,23,VH_018,Northbound
TRIP_0178,Route_E5,University,125.0,2024-03-23,20,VH_017,Southbound
TRIP_0179,Route_C3,Airport,25.0,2024-05-09,10,VH_002,Southbound
TRIP_0180,Route_E5,Mall,122.0,2024-04-03,16,VH_010,Westbound
TRIP_0181,Route_E5,Central_Station,114.0,2024-06-10,15,VH_003,Eastbound
TRIP_0182,Route_D4,Hospital,34.0,2024-03-05,9,VH_011,Northbound
TRIP_0183,Route_C3,Market,46.0,2024-02-03,7,VH_010,Westbound
TRIP_0184,Route_E5,Airport,94.0,2024-06-14,18,VH_017,Eastbound
TRIP_0185,Route_B2,University,14.0,2024-03-28,20,VH_007,Southbound
TRIP_0186,Route_C3,Airport,45.0,2024-05-09,22,VH_017,Northbound
TRIP_0187,Route_E5,Mall,96.0,2024-06-01,17,VH_005,Southbound
TRIP_0188,Route_E5,Mall,56.0,2024-04-22,6,VH_014,Eastbound
TRIP_0189,Route_E5,Hospital,70.0,2024-04-24,12,VH_018,Southbound
TRIP_0190,Route_D4,University,89.0,2024-04-04,23,VH_015,Westbound
TRIP_0191,Route_E5,Market,82.0,2024-02-11,11,VH_020,Southbound
TRIP_0192,Route_D4,Stadium,,2024-05-21,8,VH_017,Northbound
TRIP_0193,Route_B2,Hospital,,2024-04-25,21,VH_005,Westbound
TRIP_0194,Route_B2,Park,33.0,2024-03-30,5,VH_014,Northbound
TRIP_0195,Route_B2,Market,111.0,2024-01-21,16,VH_008,Northbound
TRIP_0196,Route_C3,Mall,91.0,2024-02-05,6,VH_010,Westbound
TRIP_0197,Route_D4,Park,45.0,2024-06-06,5,VH_003,Northbound
TRIP_0198,Route_B2,Market,75.0,2024-01-29,14,VH_008,Eastbound
TRIP_0199,Route_D4,Park,,2024-01-17,8,VH_016,Northbound
TRIP_0200,Route_B2,Hospital,141.0,2024-04-19,5,VH_020,Eastbound
TRIP_0001,Route_C3,University,,2024-02-27,9,VH_004,Northbound
TRIP_0002,Route_A1,University,,2024-02-29,21,VH_020,Northbound
TRIP_0003,Route_E5,Market,60.0,2024-02-26,19,VH_019,Eastbound
TRIP_0004,Route_B2,Market,11.0,2024-03-28,13,VH_005,Southbound
TRIP_0005,Route_D4,Airport,96.0,2024-04-01,16,VH_020,Eastbound
