location_id,vehicle_id,latitude,longitude,speed_kmh,timestamp,status
LOC_0001,VH_003,6.472169,3.366627,41.9,2024-04-02 02:33:00,Moving
LOC_0002,VH_012,6.517136,3.388054,20.3,2024-01-05 11:50:00,Moving
LOC_0003,VH_019,6.503441,3.493176,58.8,2024-03-26 04:02:00,Idle
LOC_0004,VH_015,6.563804,3.525404,78.5,2024-05-02 20:11:00,Stopped
LOC_0005,VH_010,6.41893,3.510476,16.1,2024-02-21 01:20:00,Idle
LOC_0006,VH_009,6.554615,3.595649,2.9,2024-06-14 06:18:00,Idle
LOC_0007,VH_009,6.658642,3.219122,10.0,2024-04-04 13:56:00,
LOC_0008,VH_006,6.622992,3.557855,39.7,2024-05-07 11:59:00,Idle
LOC_0009,VH_020,6.640344,3.490833,79.6,2024-02-16 17:18:00,Idle
LOC_0010,VH_015,6.430779,3.331168,48.2,2024-04-19 05:44:00,
LOC_0011,VH_012,6.505464,3.216942,49.2,2024-04-21 08:40:00,Moving
LOC_0012,VH_006,6.422512,3.455005,76.2,2024-02-06 19:43:00,
LOC_0013,VH_012,6.41044,3.226893,29.0,2024-05-25 01:38:00,Stopped
LOC_0014,VH_003,6.603719,3.579529,45.9,2024-05-15 11:25:00,Idle
LOC_0015,VH_006,6.594868,3.299845,39.9,2024-04-09 17:07:00,Idle
LOC_0016,VH_020,6.632489,3.481615,22.8,2024-05-05 06:07:00,Stopped
LOC_0017,VH_015,6.655848,3.380817,79.8,2024-06-23 10:42:00,Idle
LOC_0018,VH_010,6.612862,3.419999,68.1,2024-06-28 20:11:00,Idle
LOC_0019,VH_005,6.552627,3.248545,18.9,2024-05-06 00:23:00,Idle
LOC_0020,VH_003,6.540222,3.593205,5.3,2024-04-11 22:46:00,
LOC_0021,VH_003,6.557709,3.507666,10.0,2024-03-22 20:04:00,
LOC_0022,VH_018,6.53975,3.406944,51.2,2024-02-16 04:27:00,Moving
LOC_0023,VH_006,6.649417,3.407241,25.8,2024-02-27 11:33:00,Idle
LOC_0024,VH_018,6.65378,3.300242,22.0,2024-06-09 09:39:00,Moving
LOC_0025,VH_005,6.550772,3.267454,13.7,2024-06-08 23:57:00,Idle
LOC_0026,VH_001,6.652759,3.425447,6.5,2024-06-13 18:16:00,Stopped
LOC_0027,VH_016,6.630088,3.366635,71.1,2024-05-19 09:41:00,Idle
LOC_0028,VH_010,6.544883,3.521875,36.3,2024-06-25 01:10:00,
LOC_0029,VH_005,6.524687,3.385777,25.0,2024-03-22 23:55:00,Idle
LOC_0030,VH_018,6.692612,3.252306,8.5,2024-03-02 14:07:00,Idle
LOC_0031,VH_013,6.534879,3.256351,69.1,2024-04-17 07:55:00,Stopped
LOC_0032,VH_007,6.644043,3.573501,61.0,2024-05-07 16:29:00,
LOC_0033,VH_013,6.663723,3.398948,40.4,2024-03-02 06:37:00,Idle
LOC_0034,VH_016,6.414597,3.312543,22.9,2024-01-03 03:27:00,Stopped
LOC_0035,VH_012,6.664737,3.491003,3.6,2024-01-14 18:35:00,Stopped
LOC_0036,VH_015,6.508757,3.315441,61.2,2024-03-12 19:43:00,Moving
LOC_0037,VH_011,6.438599,3.238673,44.6,2024-04-03 04:12:00,
LOC_0038,VH_011,6.550023,3.218121,64.3,2024-05-12 14:09:00,Stopped
LOC_0039,VH_020,6.49839,3.445227,59.1,2024-03-17 18:21:00,
LOC_0040,VH_012,6.612622,3.319916,26.5,2024-01-29 13:37:00,Idle
LOC_0041,VH_001,6.639026,3.49013,47.8,2024-03-08 20:50:00,Stopped
LOC_0042,VH_020,6.61642,3.433409,62.0,2024-04-07 04:52:00,Stopped
LOC_0043,VH_001,6.409471,3.579282,35.3,2024-04-17 04:26:00,Stopped
LOC_0044,VH_002,6.523113,3.509989,56.5,2024-05-12 06:35:00,Idle
LOC_0045,VH_006,6.699437,3.391348,36.8,2024-05-16 10:34:00,Idle
LOC_0046,VH_009,6.602761,3.547062,48.8,2024-02-19 07:17:00,Idle
LOC_0047,VH_010,6.46746,3.589164,56.4,2024-06-25 22:31:00,Idle
LOC_0048,VH_009,6.543941,3.424195,23.0,2024-05-26 21:34:00,
LOC_0049,VH_005,6.668728,3.357813,23.2,2024-03-14 22:05:00,Idle
LOC_0050,VH_007,6.677203,3.462389,16.2,2024-05-17 08:59:00,Idle
LOC_0051,VH_008,6.441182,3.446271,4.1,2024-05-15 07:40:00,Stopped
LOC_0052,VH_004,6.415747,3.365321,54.5,2024-02-05 00:35:00,Stopped
