weather_id,weather_date,temperature_c,humidity_pct,rainfall_mm,weather_condition,wind_speed_kmh
WX_0001,2024-01-01,22.1,94,0.0,Sunny,39.6
WX_0002,2024-01-02,28.8,58,0.0,Cloudy,18.4
WX_0003,2024-01-03,33.7,56,18.4,Rainy,9.8
WX_0004,2024-01-04,34.4,58,0.0,Cloudy,7.4
WX_0005,2024-01-05,31.0,89,0.0,Heavy Rain,17.3
WX_0006,2024-01-06,25.4,59,0.0,Partly Cloudy,29.0
WX_0007,2024-01-07,35.8,55,0.0,Cloudy,31.3
WX_0008,2024-01-08,31.4,74,0.0,Heavy Rain,16.0
WX_0009,2024-01-09,24.2,67,0.0,Cloudy,24.4
WX_0010,2024-01-10,31.6,88,47.1,Sunny,34.7
WX_0011,2024-01-11,32.5,69,30.3,Cloudy,31.2
WX_0012,2024-01-12,26.7,53,0.0,Cloudy,22.3
WX_0013,2024-01-13,23.8,81,0.0,Sunny,23.5
WX_0014,2024-01-14,37.6,73,0.0,Cloudy,18.5
WX_0015,2024-01-15,35.4,76,0.0,Cloudy,31.7
WX_0016,2024-01-16,37.3,54,3.4,Rainy,12.6
WX_0017,2024-01-17,36.8,75,0.0,Partly Cloudy,31.8
WX_0018,2024-01-18,28.8,75,26.8,Partly Cloudy,10.3
WX_0019,2024-01-19,23.3,55,0.0,Cloudy,39.1
WX_0020,2024-01-20,24.5,70,0.0,Sunny,15.9
WX_0021,2024-01-21,29.0,65,4.3,Heavy Rain,9.1
WX_0022,2024-01-22,31.8,53,0.0,Cloudy,9.2
WX_0023,2024-01-23,33.3,94,24.8,Rainy,23.3
WX_0024,2024-01-24,34.5,66,6.3,Rainy,30.7
WX_0025,2024-01-25,23.9,51,0.0,Heavy Rain,14.5
WX_0026,2024-01-26,23.0,95,0.0,Sunny,22.4
WX_0027,2024-01-27,30.2,53,0.0,Partly Cloudy,10.8
WX_0028,2024-01-28,24.5,56,0.0,Sunny,13.0
WX_0029,2024-01-29,30.1,52,0.0,Sunny,13.6
WX_0030,2024-01-30,29.5,74,0.0,Cloudy,37.6
WX_0031,2024-01-31,35.7,85,0.0,Heavy Rain,12.9
WX_0032,2024-02-01,26.0,70,3.9,Rainy,9.2
WX_0033,2024-02-02,32.8,53,40.2,Sunny,38.4
WX_0034,2024-02-03,23.1,79,0.0,Rainy,16.5
WX_0035,2024-02-04,30.8,50,0.0,Rainy,24.7
WX_0036,2024-02-05,26.9,89,18.4,Heavy Rain,39.9
WX_0037,2024-02-06,34.4,84,0.0,Cloudy,10.3
WX_0038,2024-02-07,36.9,51,17.3,Sunny,38.3
WX_0039,2024-02-08,22.0,92,0.0,Rainy,8.6
WX_0040,2024-02-09,30.5,65,0.0,Sunny,39.0
WX_0041,2024-02-10,24.3,67,46.1,Partly Cloudy,19.5
WX_0042,2024-02-11,36.3,79,0.0,Sunny,25.3
WX_0043,2024-02-12,30.1,90,0.0,Sunny,25.7
WX_0044,2024-02-13,23.0,92,0.0,Cloudy,15.2
WX_0045,2024-02-14,35.6,75,0.0,Rainy,16.1
WX_0046,2024-02-15,26.4,54,0.0,Cloudy,32.3
WX_0047,2024-02-16,31.4,59,22.5,Rainy,19.2
WX_0048,2024-02-17,30.6,63,0.0,Heavy Rain,14.3
WX_0049,2024-02-18,23.9,60,0.0,Rainy,33.9
WX_0050,2024-02-19,33.2,52,42.8,Cloudy,8.2
WX_0051,2024-02-20,26.0,72,0.0,Sunny,28.7
WX_0052,2024-02-21,26.2,61,20.2,Heavy Rain,24.5
WX_0053,2024-02-22,30.8,56,0.0,Cloudy,9.3
WX_0054,2024-02-23,23.0,64,41.2,Rainy,29.0
WX_0055,2024-02-24,37.0,55,0.0,Rainy,37.1
WX_0056,2024-02-25,23.2,54,32.3,Cloudy,8.2
WX_0057,2024-02-26,35.6,71,47.1,Sunny,10.9
WX_0058,2024-02-27,31.2,75,0.0,Heavy Rain,28.9
WX_0059,2024-02-28,24.8,63,0.0,Rainy,14.8
WX_0060,2024-02-29,36.1,52,0.0,Partly Cloudy,13.6
WX_0061,2024-03-01,26.7,76,0.0,Heavy Rain,7.1
WX_0062,2024-03-02,26.5,58,0.0,Partly Cloudy,13.7
WX_0063,2024-03-03,37.9,84,0.0,Heavy Rain,32.4
WX_0064,2024-03-04,27.7,84,0.0,Rainy,36.9
WX_0065,2024-03-05,30.0,74,1.3,Partly Cloudy,12.7
WX_0066,2024-03-06,36.3,67,49.6,Partly Cloudy,17.5
WX_0067,2024-03-07,31.3,64,0.0,Sunny,13.7
WX_0068,2024-03-08,25.9,84,0.0,Sunny,31.7
WX_0069,2024-03-09,37.2,86,0.0,Heavy Rain,17.4
WX_0070,2024-03-10,35.4,61,29.6,Rainy,37.0
WX_0071,2024-03-11,22.5,94,0.0,Partly Cloudy,24.7
WX_0072,2024-03-12,31.0,62,0.0,Heavy Rain,24.0
WX_0073,2024-03-13,24.8,52,11.6,Cloudy,5.7
WX_0074,2024-03-14,29.6,71,0.0,Cloudy,33.2
WX_0075,2024-03-15,27.5,61,0.0,Rainy,7.1
WX_0076,2024-03-16,24.4,95,0.0,Sunny,34.6
WX_0077,2024-03-17,35.8,54,0.0,Heavy Rain,25.5
WX_0078,2024-03-18,27.4,70,7.9,Heavy Rain,32.7
WX_0079,2024-03-19,37.4,91,0.0,Partly Cloudy,29.3
WX_0080,2024-03-20,36.9,72,29.4,Cloudy,18.2
WX_0081,2024-03-21,33.7,68,36.4,Partly Cloudy,18.7
WX_0082,2024-03-22,37.9,86,30.1,Partly Cloudy,12.7
WX_0083,2024-03-23,31.0,81,37.3,Cloudy,17.1
WX_0084,2024-03-24,27.1,90,0.0,Sunny,33.8
WX_0085,2024-03-25,32.7,71,0.0,Rainy,12.3
WX_0086,2024-03-26,33.1,72,5.4,Sunny,6.7
WX_0087,2024-03-27,29.0,76,0.0,Heavy Rain,22.3
WX_0088,2024-03-28,28.1,84,0.0,Heavy Rain,32.6
WX_0089,2024-03-29,31.2,93,22.6,Sunny,15.3
WX_0090,2024-03-30,27.1,56,8.5,Heavy Rain,10.6
WX_0091,2024-03-31,23.2,55,0.0,Partly Cloudy,36.3
WX_0092,2024-04-01,33.3,77,0.0,Cloudy,26.3
WX_0093,2024-04-02,28.9,53,10.3,Cloudy,19.3
WX_0094,2024-04-03,30.9,84,14.1,Cloudy,8.4
WX_0095,2024-04-04,28.3,85,0.0,Cloudy,6.9
WX_0096,2024-04-05,22.1,55,33.1,Partly Cloudy,21.8
WX_0097,2024-04-06,23.6,63,14.6,Sunny,21.6
WX_0098,2024-04-07,23.8,75,0.0,Rainy,8.2
WX_0099,2024-04-08,30.7,61,0.0,Heavy Rain,17.9
WX_0100,2024-04-09,29.1,66,0.0,Rainy,12.9
WX_0101,2024-04-10,26.3,53,34.8,Sunny,8.0
WX_0102,2024-04-11,27.5,84,0.0,Partly Cloudy,13.0
WX_0103,2024-04-12,23.0,74,0.0,Heavy Rain,38.8
WX_0104,2024-04-13,33.0,80,0.0,Cloudy,21.7
WX_0105,2024-04-14,23.3,95,28.6,Partly Cloudy,33.0
WX_0106,2024-04-15,32.8,89,47.5,Heavy Rain,11.1
WX_0107,2024-04-16,37.7,63,0.0,Cloudy,6.5
WX_0108,2024-04-17,23.3,93,0.0,Cloudy,34.2
WX_0109,2024-04-18,26.1,54,27.8,Partly Cloudy,16.4
WX_0110,2024-04-19,26.4,79,0.0,Sunny,32.5
WX_0111,2024-04-20,32.0,83,0.0,Sunny,19.5
WX_0112,2024-04-21,24.4,87,0.0,Sunny,37.4
WX_0113,2024-04-22,31.0,56,0.0,Partly Cloudy,35.8
WX_0114,2024-04-23,36.0,66,0.0,Heavy Rain,25.0
WX_0115,2024-04-24,29.6,61,7.2,Partly Cloudy,28.8
WX_0116,2024-04-25,28.4,75,0.0,Rainy,29.2
WX_0117,2024-04-26,22.8,80,0.0,Rainy,5.7
WX_0118,2024-04-27,35.1,69,0.0,Heavy Rain,35.0
WX_0119,2024-04-28,33.0,64,48.7,Heavy Rain,32.1
WX_0120,2024-04-29,27.1,76,0.0,Sunny,11.6
WX_0121,2024-04-30,25.4,76,0.0,Partly Cloudy,35.4
WX_0122,2024-05-01,35.1,82,0.0,Sunny,15.9
WX_0123,2024-05-02,30.1,58,0.0,Partly Cloudy,35.8
WX_0124,2024-05-03,22.5,62,0.0,Cloudy,34.3
WX_0125,2024-05-04,26.0,79,18.0,Cloudy,14.6
WX_0126,2024-05-05,35.2,82,0.0,Sunny,28.8
WX_0127,2024-05-06,25.9,81,0.0,Cloudy,38.6
WX_0128,2024-05-07,29.6,85,0.0,Cloudy,34.3
WX_0129,2024-05-08,26.1,94,1.4,Sunny,10.7
WX_0130,2024-05-09,31.2,63,0.0,Cloudy,28.7
WX_0131,2024-05-10,26.3,76,0.0,Sunny,21.6
WX_0132,2024-05-11,24.1,61,0.0,Sunny,12.8
WX_0133,2024-05-12,31.7,69,0.0,Rainy,19.8
WX_0134,2024-05-13,28.0,72,0.0,Cloudy,21.3
WX_0135,2024-05-14,32.8,89,0.0,Sunny,5.3
WX_0136,2024-05-15,38.0,73,0.0,Partly Cloudy,26.3
WX_0137,2024-05-16,26.8,56,0.0,Rainy,39.6
WX_0138,2024-05-17,32.2,67,35.6,Rainy,11.6
WX_0139,2024-05-18,30.3,65,0.0,Partly Cloudy,19.1
WX_0140,2024-05-19,27.1,58,0.0,Heavy Rain,39.9
WX_0141,2024-05-20,26.2,76,0.0,Sunny,25.4
WX_0142,2024-05-21,37.9,62,0.0,Cloudy,29.0
WX_0143,2024-05-22,32.2,80,0.0,Rainy,22.8
WX_0144,2024-05-23,35.5,92,0.0,Cloudy,15.3
WX_0145,2024-05-24,29.5,66,0.0,Partly Cloudy,31.7
WX_0146,2024-05-25,24.9,93,0.0,Sunny,12.8
WX_0147,2024-05-26,25.6,69,0.0,Rainy,18.0
WX_0148,2024-05-27,31.4,79,0.0,Heavy Rain,6.9
WX_0149,2024-05-28,32.2,87,0.0,Sunny,21.5
WX_0150,2024-05-29,25.1,57,0.0,Heavy Rain,23.5
WX_0151,2024-05-30,28.6,59,10.0,Heavy Rain,39.6
WX_0152,2024-05-31,36.3,79,43.1,Cloudy,32.3
WX_0153,2024-06-01,29.8,90,0.0,Rainy,27.2
WX_0154,2024-06-02,22.1,67,38.7,Partly Cloudy,31.8
WX_0155,2024-06-03,29.8,55,21.7,Heavy Rain,19.1
WX_0156,2024-06-04,37.4,74,26.7,Rainy,38.3
WX_0157,2024-06-05,36.3,83,33.8,Cloudy,12.9
WX_0158,2024-06-06,36.0,69,19.2,Partly Cloudy,15.7
WX_0159,2024-06-07,23.0,52,14.5,Partly Cloudy,25.9
WX_0160,2024-06-08,27.4,93,0.0,Rainy,39.9
WX_0161,2024-06-09,29.8,62,45.3,Heavy Rain,5.7
WX_0162,2024-06-10,25.6,58,1.1,Partly Cloudy,10.9
WX_0163,2024-06-11,27.9,91,0.0,Heavy Rain,35.7
WX_0164,2024-06-12,26.1,84,0.0,Partly Cloudy,39.8
WX_0165,2024-06-13,32.6,91,0.0,Sunny,29.1
WX_0166,2024-06-14,28.7,74,12.6,Cloudy,12.2
WX_0167,2024-06-15,33.0,50,0.0,Sunny,28.2
WX_0168,2024-06-16,26.3,88,0.0,Heavy Rain,34.1
WX_0169,2024-06-17,23.7,89,5.7,Sunny,22.4
WX_0170,2024-06-18,31.7,66,0.0,Cloudy,17.5
WX_0171,2024-06-19,28.6,60,24.8,Cloudy,29.1
WX_0172,2024-06-20,29.7,65,33.6,Sunny,34.2
WX_0173,2024-06-21,32.7,59,0.0,Partly Cloudy,7.6
WX_0174,2024-06-22,33.6,66,0.0,Heavy Rain,39.6
WX_0175,2024-06-23,26.7,79,40.7,Sunny,34.8
WX_0176,2024-06-24,27.8,93,0.0,Sunny,8.3
WX_0177,2024-06-25,34.1,52,6.9,Cloudy,16.5
WX_0178,2024-06-26,36.3,89,36.7,Rainy,33.5
WX_0179,2024-06-27,24.9,75,0.0,Heavy Rain,14.5
WX_0180,2024-06-28,28.2,80,0.0,Cloudy,9.0
